iter	RMSE
0	1.018954168
1	0.9717936823
2	0.9333485246
3	0.8958984874
4	0.861984581
5	0.8289660872
6	0.8000661565
7	0.7816804918
8	0.7555024105
9	0.7370640831
10	0.7150171012
11	0.6944834764
12	0.6821664963
13	0.6652437408
14	0.6541514502
15	0.640910748
16	0.6309179901
17	0.6216236665
18	0.6133908494
19	0.6039863078
20	0.5980787677
21	0.5885053438
22	0.5813684671
23	0.5746865085
24	0.5699728173
25	0.5626892606
26	0.5566859832
27	0.5497119618
28	0.5465199901
29	0.5407863362
30	0.5343153833
31	0.5298198967
32	0.526622667
33	0.5221516827
34	0.5182981606
35	0.51467702
36	0.5110914023
37	0.5050652035
38	0.5003315929
39	0.4985303249
40	0.4928642081
41	0.4890803732
42	0.4864076242
43	0.4830100926
44	0.4784424399
45	0.4769171475
46	0.4736372016
47	0.4701544211
48	0.4672504882
49	0.4649924314
50	0.4626490329
51	0.4579898358
52	0.4554981627
53	0.4542807913
54	0.4519676114
55	0.4495714495
56	0.4476905326
57	0.4425610871
58	0.4402221644
59	0.436526662
60	0.4332075384
61	0.4322246417
62	0.428602426
63	0.4260891609
64	0.4243203715
65	0.4221085421
66	0.420599393
67	0.4182571865
68	0.4171419453
69	0.4158686748
70	0.414501347
71	0.412274781
72	0.4094376318
73	0.4064415757
74	0.4034111719
75	0.4015323071
76	0.3996946431
77	0.3965437727
78	0.3904837239
79	0.3877020631
80	0.3855156418
81	0.3816440623
82	0.3805935496
83	0.3775373113
84	0.375882993
85	0.3749318035
86	0.37348292
87	0.3716117582
88	0.3696551768
89	0.3677687484
90	0.3651352225
91	0.3637154861
92	0.3619293498
93	0.3601704982
94	0.3569004799
95	0.3560274375
96	0.3549344582
97	0.3525482891
98	0.349738297
99	0.3483653989
100	0.347041891
101	0.3442420593
102	0.343653633
103	0.3429212849
104	0.3416701009
105	0.3410156168
106	0.3396830025
107	0.3391691646
108	0.3373283402
109	0.3331877904
110	0.3322865909
111	0.3297794102
112	0.3273768298
113	0.3266767306
114	0.325313606
115	0.3218467772
116	0.3207966339
117	0.3189801896
118	0.3180660298
119	0.3166631804
120	0.3142192069
121	0.3132802409
122	0.3126711147
123	0.3106902212
124	0.3104023165
125	0.3092946298
126	0.3087784393
127	0.3076505387
128	0.3045138643
129	0.3034505606
130	0.2994526321
131	0.2966569756
132	0.2957120571
133	0.2926863262
134	0.2924429865
135	0.2903608592
136	0.2879092349
137	0.2868486845
138	0.2836752452
139	0.2820893768
140	0.2808787754
141	0.2792935674
142	0.2772781734
143	0.2758189073
144	0.27483969
145	0.2746187783
146	0.2733744864
147	0.2728861688
148	0.2726581011
149	0.2704579767
150	0.2701087367
151	0.269827232
152	0.2677038949
153	0.2670666208
154	0.2650080973
155	0.2627525125
156	0.2622726001
157	0.2620578665
158	0.2610000864
159	0.2586502714
160	0.257638683
161	0.2552015429
162	0.2530981002
163	0.2529434488
164	0.2504321272
165	0.2500366405
166	0.2497066793
167	0.2492188952
168	0.2485580683
169	0.2472885237
170	0.2470088887
171	0.2452870036
172	0.2432766362
173	0.2423529227
174	0.2417275103
175	0.2411995601
176	0.2383062747
177	0.2381577818
178	0.2365901272
179	0.2347983205
180	0.2326755647
181	0.2305349199
182	0.2285680913
183	0.2276741524
184	0.2264660859
185	0.2255201894
186	0.2246924195
187	0.2235909472
188	0.2210803094
189	0.2195166458
190	0.2186224575
191	0.2171582136
192	0.2152435645
193	0.2143297089
194	0.2140560564
195	0.2137814499
196	0.2131000412
197	0.2112411137
198	0.2103381704
199	0.2094576149
