Rank,Player,Team,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
1,Stephen Curry,GSW,"$55,761,216","$59,606,817",,,,,"$115,368,033"
2,Nikola Jokić,DEN,"$51,415,938","$55,224,526","$59,033,114","$62,841,702",,,"$165,673,578"
3,Joel Embiid,PHI,"$51,415,938","$55,224,526",,,,,"$106,640,464"
4,Kevin Durant,PHO,"$51,179,021","$54,708,609",,,,,"$105,887,630"
5,Bradley Beal,PHO,"$50,203,930","$53,666,270","$57,128,610",,,,"$103,870,200"
6,Jaylen Brown,BOS,"$49,700,000","$53,676,000","$57,652,000","$61,628,000","$65,604,000",,"$288,260,000"
7,Devin Booker,PHO,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,"$220,441,984"
8,Karl-Anthony Towns,NYK,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,"$159,426,792"
9,Paul George,PHI,"$49,205,800","$51,666,090","$54,126,380","$56,586,670",,,"$154,998,270"
10,Kawhi Leonard,LAC,"$49,205,800","$50,000,000","$50,300,000",,,,"$149,505,800"
11,Jimmy Butler,MIA,"$48,798,677","$52,413,394",,,,,"$48,798,677"
12,Giannis Antetokounmpo,MIL,"$48,787,676","$54,126,450","$58,456,566","$62,786,682",,,"$161,370,692"
13,Damian Lillard,MIL,"$48,787,676","$54,126,450","$58,456,566",,,,"$102,914,126"
14,LeBron James,LAL,"$48,728,845","$52,627,153",,,,,"$48,728,845"
15,Rudy Gobert,MIN,"$43,827,586","$46,655,172",,,,,"$43,827,586"
16,Anthony Davis,LAL,"$43,219,440","$60,507,216","$65,347,793","$70,188,370",,,"$239,262,819"
17,Trae Young,ATL,"$43,031,940","$45,999,660","$48,967,380",,,,"$137,998,980"
18,Luka Dončić,DAL,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
19,Zach LaVine,CHI,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
20,Fred VanVleet,HOU,"$42,846,615","$44,886,930",,,,,"$42,846,615"
21,Anthony Edwards,MIN,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,"$244,623,120"
22,Tyrese Haliburton,IND,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,"$244,623,120"
23,Pascal Siakam,IND,"$42,176,400","$45,550,512","$48,924,624","$52,298,736",,,"$188,950,272"
24,Lauri Markkanen,UTA,"$42,176,400",,,,,,"$42,176,400"
25,Kyrie Irving,DAL,"$41,000,000","$43,962,963",,,,,"$41,000,000"
26,Domantas Sabonis,SAC,"$40,500,000","$43,636,000","$46,772,000","$49,908,000",,,"$180,816,000"
27,Ben Simmons,BRK,"$40,338,144",,,,,,"$40,338,144"
28,Zion Williamson,NOP,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
29,Ja Morant,MEM,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
30,Darius Garland,CLE,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
31,OG Anunoby,NYK,"$36,637,932","$39,568,966","$42,500,000","$45,431,034","$48,362,068",,"$164,137,932"
32,Brandon Ingram,NOP,"$36,016,200",,,,,,"$36,016,200"
33,Jamal Murray,DEN,"$36,016,200",,,,,,"$36,016,200"
34,Shai Gilgeous-Alexander,OKC,"$35,859,950","$38,333,050","$40,806,150",,,,"$114,999,150"
35,Michael Porter Jr.,DEN,"$35,859,950","$38,333,050","$40,806,150",,,,"$86,193,000"
36,Donovan Mitchell,CLE,"$35,410,310","$46,394,100","$50,105,628","$53,817,156",,,"$131,910,038"
37,Tyrese Maxey,PHI,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600"
38,LaMelo Ball,CHO,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600"
39,Jayson Tatum,BOS,"$34,848,340","$54,126,450","$58,456,566","$62,786,682","$67,116,798","$71,446,914","$277,334,836"
40,Bam Adebayo,MIA,"$34,848,340","$37,096,620","$48,713,700","$52,610,796","$56,507,892",,"$173,269,456"
41,De'Aaron Fox,SAC,"$34,848,340","$37,096,620",,,,,"$71,944,960"
42,Desmond Bane,MEM,"$34,005,250","$36,725,670","$39,446,090","$42,166,510","$44,886,930",,"$197,230,450"
43,Deandre Ayton,POR,"$34,005,126","$35,550,814",,,,,"$69,555,940"
44,James Harden,LAC,"$33,653,846","$36,346,154",,,,,"$33,653,846"
45,CJ McCollum,NOP,"$33,333,333","$30,666,666",,,,,"$63,999,999"
46,Immanuel Quickley,TOR,"$32,500,000","$32,500,000","$32,500,000","$32,500,000",,,"$130,000,000"
47,Khris Middleton,MIL,"$31,666,667","$34,012,345",,,,,"$31,666,667"
48,Jrue Holiday,BOS,"$30,000,000","$32,400,000","$34,800,000","$37,200,000",,,"$97,200,000"
49,Isaiah Hartenstein,OKC,"$30,000,000","$28,500,000","$28,500,000",,,,"$58,500,000"
50,Jerami Grant,POR,"$29,793,104","$32,000,001","$34,206,898","$36,413,790",,,"$96,000,003"
51,Jordan Poole,WAS,"$29,651,786","$31,848,215","$34,044,642",,,,"$95,544,643"
52,Devin Vassell,SAS,"$29,347,826","$27,000,000","$27,000,000","$24,652,174","$27,000,000",,"$135,000,000"
53,Kristaps Porziņģis,BOS,"$29,268,293","$30,731,707",,,,,"$60,000,000"
54,Tyler Herro,MIA,"$29,000,000","$31,000,000","$33,000,000",,,,"$93,000,000"
55,Julius Randle,MIN,"$28,939,680","$30,935,520",,,,,"$28,939,680"
56,Nic Claxton,BRK,"$27,556,817","$25,352,272","$23,147,727","$20,943,184",,,"$97,000,000"
57,Miles Bridges,CHO,"$27,173,913","$25,000,000","$22,826,087",,,,"$75,000,000"
